date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
22:13:00	69511/69511	---MCZ	200	added ('OK')	text/html	etag:W/%2210f87-5e77b2f79595d%22	https://myhealthcycle.com/lp/diet/all/22/quantum-kelly.html?cep=7I15QeXH8v6UZoRIaETocqN0dhUt6OjP_ZkefhToZyqhh4VTSgICRG_UKQNfmkud5z6CqWFNfQdq_joVrIPMgHJZv1h2LwtokAr-RqvkTqQGeR_pbHxb7iWxHYIHFb3xntt4LBFVuDgng_epsmGh9uE1NXhlPvm0Y4nSv0nOrPckwPuEnmyNLbTq-24Pq026obTl8FdnluvGRSIwSm2RRHo9QJfPkeBPI3mUQTT2Xz_9KTs-gJFesbBnZ_bP0ahaCLuPdDXOb6YaT998J4jvUuDN6hI2qGphsWihd9ej7qzb5pzc7JSRgfvCbZIGtCeo40OH-XytwtDfA-T3feztpzC8NBXBKRv4DCOLbW1pLoa7aUmIVKKXmYv78gdBqGcU1v3-k1FZ45Zuvh4IK1UXswYgsPWYmfuzy1NwqDEu_eIKoUlxNAOnmlb1qy7GtvW5g230NBjLwZw9EbSRr7daKdsBNHiCTyR1RImXAVfoNw1S_jqJd9kQzqg55y63Evmv&lptoken=1681609f890d035795c0&cpc=0.251&container=email&device=desktop&publisher=2104&proxt=&pi_adid=848613&pi_clickid=01bc82ce86fb4971a711d7353ee02b47	C:/Users/synta/Downloads/kelly_weight/lp/diet/all/22/quantum-kelly9688.html	(from )
22:13:01	283/283	---MCZ	404	error ('Not%20Found')	text/html	date:Sun,%2025%20Sep%202022%2005:13:00%20GMT	https://myhealthcycle.com/robots.txt		(from )
22:13:01	67646/67646	---M--	200	added ('OK')	image/x-icon	etag:%221083e-58b1e36e7e480%22	https://myhealthcycle.com/lp/diet/all/22/files/favicon.ico	C:/Users/synta/Downloads/kelly_weight/lp/diet/all/22/files/favicon.ico	(from https://myhealthcycle.com/lp/diet/all/22/quantum-kelly.html?cep=7I15QeXH8v6UZoRIaETocqN0dhUt6OjP_ZkefhToZyqhh4VTSgICRG_UKQNfmkud5z6CqWFNfQdq_joVrIPMgHJZv1h2LwtokAr-RqvkTqQGeR_pbHxb7iWxHYIHFb3xntt4LBFVuDgng_epsmGh9uE1NXhlPvm0Y4nSv0nOrPckwPuEnmyNLbTq-24Pq026obTl8FdnluvGRSIwSm2RRHo9QJfPkeBPI3mUQTT2Xz_9KTs-gJFesbBnZ_bP0ahaCLuPdDXOb6YaT998J4jvUuDN6hI2qGphsWihd9ej7qzb5pzc7JSRgfvCbZIGtCeo40OH-XytwtDfA-T3feztpzC8NBXBKRv4DCOLbW1pLoa7aUmIVKKXmYv78gdBqGcU1v3-k1FZ45Zuvh4IK1UXswYgsPWYmfuzy1NwqDEu_eIKoUlxNAOnmlb1qy7GtvW5g230NBjLwZw9EbSRr7daKdsBNHiCTyR1RImXAVfoNw1S_jqJd9kQzqg55y63Evmv&lptoken=1681609f890d035795c0&cpc=0.251&container=email&device=desktop&publisher=2104&proxt=&pi_adid=848613&pi_clickid=01bc82ce86fb4971a711d7353ee02b47)
22:13:01	371/371	---MCZ	404	error ('Not%20Found')	text/html	date:Sun,%2025%20Sep%202022%2005:13:01%20GMT	https://myhealthcycle.com/lp/diet/contemporaryswinning.com/images/bottlefree.png	C:/Users/synta/Downloads/kelly_weight/lp/diet/contemporaryswinning.com/images/bottlefree.png	(from https://myhealthcycle.com/lp/diet/all/22/quantum-kelly.html?cep=7I15QeXH8v6UZoRIaETocqN0dhUt6OjP_ZkefhToZyqhh4VTSgICRG_UKQNfmkud5z6CqWFNfQdq_joVrIPMgHJZv1h2LwtokAr-RqvkTqQGeR_pbHxb7iWxHYIHFb3xntt4LBFVuDgng_epsmGh9uE1NXhlPvm0Y4nSv0nOrPckwPuEnmyNLbTq-24Pq026obTl8FdnluvGRSIwSm2RRHo9QJfPkeBPI3mUQTT2Xz_9KTs-gJFesbBnZ_bP0ahaCLuPdDXOb6YaT998J4jvUuDN6hI2qGphsWihd9ej7qzb5pzc7JSRgfvCbZIGtCeo40OH-XytwtDfA-T3feztpzC8NBXBKRv4DCOLbW1pLoa7aUmIVKKXmYv78gdBqGcU1v3-k1FZ45Zuvh4IK1UXswYgsPWYmfuzy1NwqDEu_eIKoUlxNAOnmlb1qy7GtvW5g230NBjLwZw9EbSRr7daKdsBNHiCTyR1RImXAVfoNw1S_jqJd9kQzqg55y63Evmv&lptoken=1681609f890d035795c0&cpc=0.251&container=email&device=desktop&publisher=2104&proxt=&pi_adid=848613&pi_clickid=01bc82ce86fb4971a711d7353ee02b47)
22:13:01	31035/31035	---MCZ	200	added ('OK')	text/css	etag:W/%22793b-58b1e37437200%22	https://myhealthcycle.com/lp/diet/all/22/files/font-awesome.min.css	C:/Users/synta/Downloads/kelly_weight/lp/diet/all/22/files/font-awesome.min.css	(from https://myhealthcycle.com/lp/diet/all/22/quantum-kelly.html?cep=7I15QeXH8v6UZoRIaETocqN0dhUt6OjP_ZkefhToZyqhh4VTSgICRG_UKQNfmkud5z6CqWFNfQdq_joVrIPMgHJZv1h2LwtokAr-RqvkTqQGeR_pbHxb7iWxHYIHFb3xntt4LBFVuDgng_epsmGh9uE1NXhlPvm0Y4nSv0nOrPckwPuEnmyNLbTq-24Pq026obTl8FdnluvGRSIwSm2RRHo9QJfPkeBPI3mUQTT2Xz_9KTs-gJFesbBnZ_bP0ahaCLuPdDXOb6YaT998J4jvUuDN6hI2qGphsWihd9ej7qzb5pzc7JSRgfvCbZIGtCeo40OH-XytwtDfA-T3feztpzC8NBXBKRv4DCOLbW1pLoa7aUmIVKKXmYv78gdBqGcU1v3-k1FZ45Zuvh4IK1UXswYgsPWYmfuzy1NwqDEu_eIKoUlxNAOnmlb1qy7GtvW5g230NBjLwZw9EbSRr7daKdsBNHiCTyR1RImXAVfoNw1S_jqJd9kQzqg55y63Evmv&lptoken=1681609f890d035795c0&cpc=0.251&container=email&device=desktop&publisher=2104&proxt=&pi_adid=848613&pi_clickid=01bc82ce86fb4971a711d7353ee02b47)
22:13:01	114/114	---MCZ	200	added ('OK')	text/html	etag:W/%2272-5e297524a5db5%22	https://myhealthcycle.com/lp/diet/all/22/alter.html	C:/Users/synta/Downloads/kelly_weight/lp/diet/all/22/alter.html	(from https://myhealthcycle.com/lp/diet/all/22/quantum-kelly.html?cep=7I15QeXH8v6UZoRIaETocqN0dhUt6OjP_ZkefhToZyqhh4VTSgICRG_UKQNfmkud5z6CqWFNfQdq_joVrIPMgHJZv1h2LwtokAr-RqvkTqQGeR_pbHxb7iWxHYIHFb3xntt4LBFVuDgng_epsmGh9uE1NXhlPvm0Y4nSv0nOrPckwPuEnmyNLbTq-24Pq026obTl8FdnluvGRSIwSm2RRHo9QJfPkeBPI3mUQTT2Xz_9KTs-gJFesbBnZ_bP0ahaCLuPdDXOb6YaT998J4jvUuDN6hI2qGphsWihd9ej7qzb5pzc7JSRgfvCbZIGtCeo40OH-XytwtDfA-T3feztpzC8NBXBKRv4DCOLbW1pLoa7aUmIVKKXmYv78gdBqGcU1v3-k1FZ45Zuvh4IK1UXswYgsPWYmfuzy1NwqDEu_eIKoUlxNAOnmlb1qy7GtvW5g230NBjLwZw9EbSRr7daKdsBNHiCTyR1RImXAVfoNw1S_jqJd9kQzqg55y63Evmv&lptoken=1681609f890d035795c0&cpc=0.251&container=email&device=desktop&publisher=2104&proxt=&pi_adid=848613&pi_clickid=01bc82ce86fb4971a711d7353ee02b47)
22:13:02	371/371	---MCZ	404	error ('Not%20Found')	text/html	date:Sun,%2025%20Sep%202022%2005:13:01%20GMT	https://myhealthcycle.com/lp/diet/all/22/current.html	C:/Users/synta/Downloads/kelly_weight/lp/diet/all/22/current.html	(from https://myhealthcycle.com/lp/diet/all/22/quantum-kelly.html?cep=7I15QeXH8v6UZoRIaETocqN0dhUt6OjP_ZkefhToZyqhh4VTSgICRG_UKQNfmkud5z6CqWFNfQdq_joVrIPMgHJZv1h2LwtokAr-RqvkTqQGeR_pbHxb7iWxHYIHFb3xntt4LBFVuDgng_epsmGh9uE1NXhlPvm0Y4nSv0nOrPckwPuEnmyNLbTq-24Pq026obTl8FdnluvGRSIwSm2RRHo9QJfPkeBPI3mUQTT2Xz_9KTs-gJFesbBnZ_bP0ahaCLuPdDXOb6YaT998J4jvUuDN6hI2qGphsWihd9ej7qzb5pzc7JSRgfvCbZIGtCeo40OH-XytwtDfA-T3feztpzC8NBXBKRv4DCOLbW1pLoa7aUmIVKKXmYv78gdBqGcU1v3-k1FZ45Zuvh4IK1UXswYgsPWYmfuzy1NwqDEu_eIKoUlxNAOnmlb1qy7GtvW5g230NBjLwZw9EbSRr7daKdsBNHiCTyR1RImXAVfoNw1S_jqJd9kQzqg55y63Evmv&lptoken=1681609f890d035795c0&cpc=0.251&container=email&device=desktop&publisher=2104&proxt=&pi_adid=848613&pi_clickid=01bc82ce86fb4971a711d7353ee02b47)
22:13:02	3613/3613	---M--	200	added ('OK')	image/png	etag:%22e1d-5e840c87cc1f0%22	https://myhealthcycle.com/lp/diet/all/22/files/HI0zoat.png	C:/Users/synta/Downloads/kelly_weight/lp/diet/all/22/files/HI0zoat.png	(from https://myhealthcycle.com/lp/diet/all/22/quantum-kelly.html?cep=7I15QeXH8v6UZoRIaETocqN0dhUt6OjP_ZkefhToZyqhh4VTSgICRG_UKQNfmkud5z6CqWFNfQdq_joVrIPMgHJZv1h2LwtokAr-RqvkTqQGeR_pbHxb7iWxHYIHFb3xntt4LBFVuDgng_epsmGh9uE1NXhlPvm0Y4nSv0nOrPckwPuEnmyNLbTq-24Pq026obTl8FdnluvGRSIwSm2RRHo9QJfPkeBPI3mUQTT2Xz_9KTs-gJFesbBnZ_bP0ahaCLuPdDXOb6YaT998J4jvUuDN6hI2qGphsWihd9ej7qzb5pzc7JSRgfvCbZIGtCeo40OH-XytwtDfA-T3feztpzC8NBXBKRv4DCOLbW1pLoa7aUmIVKKXmYv78gdBqGcU1v3-k1FZ45Zuvh4IK1UXswYgsPWYmfuzy1NwqDEu_eIKoUlxNAOnmlb1qy7GtvW5g230NBjLwZw9EbSRr7daKdsBNHiCTyR1RImXAVfoNw1S_jqJd9kQzqg55y63Evmv&lptoken=1681609f890d035795c0&cpc=0.251&container=email&device=desktop&publisher=2104&proxt=&pi_adid=848613&pi_clickid=01bc82ce86fb4971a711d7353ee02b47)
22:13:02	2765/2765	---M--	200	added ('OK')	image/jpeg	etag:%22acd-58b1e3724ed80%22	https://myhealthcycle.com/lp/diet/all/22/files/X49TD5Q.jpg	C:/Users/synta/Downloads/kelly_weight/lp/diet/all/22/files/X49TD5Q.jpg	(from https://myhealthcycle.com/lp/diet/all/22/quantum-kelly.html?cep=7I15QeXH8v6UZoRIaETocqN0dhUt6OjP_ZkefhToZyqhh4VTSgICRG_UKQNfmkud5z6CqWFNfQdq_joVrIPMgHJZv1h2LwtokAr-RqvkTqQGeR_pbHxb7iWxHYIHFb3xntt4LBFVuDgng_epsmGh9uE1NXhlPvm0Y4nSv0nOrPckwPuEnmyNLbTq-24Pq026obTl8FdnluvGRSIwSm2RRHo9QJfPkeBPI3mUQTT2Xz_9KTs-gJFesbBnZ_bP0ahaCLuPdDXOb6YaT998J4jvUuDN6hI2qGphsWihd9ej7qzb5pzc7JSRgfvCbZIGtCeo40OH-XytwtDfA-T3feztpzC8NBXBKRv4DCOLbW1pLoa7aUmIVKKXmYv78gdBqGcU1v3-k1FZ45Zuvh4IK1UXswYgsPWYmfuzy1NwqDEu_eIKoUlxNAOnmlb1qy7GtvW5g230NBjLwZw9EbSRr7daKdsBNHiCTyR1RImXAVfoNw1S_jqJd9kQzqg55y63Evmv&lptoken=1681609f890d035795c0&cpc=0.251&container=email&device=desktop&publisher=2104&proxt=&pi_adid=848613&pi_clickid=01bc82ce86fb4971a711d7353ee02b47)
22:13:02	166118/166118	---M--	200	added ('OK')	image/jpeg	etag:%22288e6-5e0dce805eb48%22	https://myhealthcycle.com/lp/diet/all/22/files/kelly1.jpg	C:/Users/synta/Downloads/kelly_weight/lp/diet/all/22/files/kelly1.jpg	(from https://myhealthcycle.com/lp/diet/all/22/quantum-kelly.html?cep=7I15QeXH8v6UZoRIaETocqN0dhUt6OjP_ZkefhToZyqhh4VTSgICRG_UKQNfmkud5z6CqWFNfQdq_joVrIPMgHJZv1h2LwtokAr-RqvkTqQGeR_pbHxb7iWxHYIHFb3xntt4LBFVuDgng_epsmGh9uE1NXhlPvm0Y4nSv0nOrPckwPuEnmyNLbTq-24Pq026obTl8FdnluvGRSIwSm2RRHo9QJfPkeBPI3mUQTT2Xz_9KTs-gJFesbBnZ_bP0ahaCLuPdDXOb6YaT998J4jvUuDN6hI2qGphsWihd9ej7qzb5pzc7JSRgfvCbZIGtCeo40OH-XytwtDfA-T3feztpzC8NBXBKRv4DCOLbW1pLoa7aUmIVKKXmYv78gdBqGcU1v3-k1FZ45Zuvh4IK1UXswYgsPWYmfuzy1NwqDEu_eIKoUlxNAOnmlb1qy7GtvW5g230NBjLwZw9EbSRr7daKdsBNHiCTyR1RImXAVfoNw1S_jqJd9kQzqg55y63Evmv&lptoken=1681609f890d035795c0&cpc=0.251&container=email&device=desktop&publisher=2104&proxt=&pi_adid=848613&pi_clickid=01bc82ce86fb4971a711d7353ee02b47)
